EDA_Timestamp;EDA
0;1.509661
0.25;1.500693
1.5;1.494287
1.75;1.493006
3;1.498131
3.25;1.493006
4.5;1.498131
4.75;1.467382
6;1.476351
6.25;1.467382
7.5;1.477632
7.75;1.477632
9;1.477632
9.25;1.477632
10.5;1.477632
10.75;1.478913
12;1.478913
12.25;1.482757
15;1.484038
15.25;1.484038
16.5;1.482757
16.75;1.4866
19.5;1.482757
19.75;1.484038
21;1.489162
21.25;1.4866
22.5;1.487881
22.75;1.489162
24;1.485319
24.25;1.481475
25.5;1.491725
25.75;1.489162
27;1.485319
27.25;1.487881
28.5;1.482757
28.75;1.487881
30;1.494287
30.25;1.491725
31.5;1.493006
31.75;1.490444
34.5;1.498131
36;1.493006
36.25;1.489162
37.5;1.489162
37.75;1.491725
38;1.494287
39;1.493006
39.25;1.495568
40.5;1.498131
40.75;1.489162
43.5;1.495568
43.75;1.493006
46.5;1.499412
46.75;1.49685
48;1.494287
48.25;1.494287
49.5;1.495568
49.75;1.491725
51;1.49685
51.25;1.495568
52.5;1.498131
52.75;1.495568
53;1.491725
53.5;1.49685
53.75;1.494287
54;1.495568
54.25;1.495568
55.5;1.494287
55.75;1.495568
58.5;1.49685
58.75;1.494287
60;1.491725
60.25;1.493006
63;1.49685
63.25;1.49685
64.5;1.495568
64.75;1.499412
67.5;1.507099
67.75;1.49685
69;1.500693
69.25;1.504537
72;1.503255
72.25;1.501974
73.5;1.499412
73.75;1.49685
76.5;1.499412
76.75;1.498131
79.5;1.503255
79.75;1.503255
81;1.501974
81.25;1.498131
82.5;1.498131
82.75;1.49685
83;1.500693
83.25;1.501974
83.5;1.498131
83.75;1.500693
84;1.504537
84.25;1.503255
85.5;1.503255
85.75;1.498131
88.5;1.501974
88.75;1.504537
90;1.500693
90.25;1.495568
90.5;1.501974
90.75;1.504537
91;1.501974
91.25;1.501974
91.5;1.499412
91.75;1.500693
93;1.500693
93.25;1.503255
96;1.499412
96.25;1.501974
97.5;1.568595
97.75;1.566033
99;1.564752
99.25;1.571158
